Branch,City,Customer type,Date,Gender,Invoice ID,Payment,Product line,Time,Cogs,Customer type (copy),Gross Income,Gross Margin Percentage,Payment (copy),Quantity,Rating,Tax 5%,Total,Unit price
B,Mandalay,Normal,08-02-2019,Male,649-29-6775,Cash,Fashion accessories,30-12-1899 03:31:00 pm,33.52,,1.676,4.761904762,,1,6.7,1.676,35.196,33.52
A,Yangon,Normal,10-03-2019,Female,189-17-4241,Credit card,Fashion accessories,30-12-1899 12:17:00 pm,175.34,,8.767,4.761904762,,2,7.7,8.767,184.107,87.67
B,Mandalay,Normal,25-01-2019,Female,145-94-9061,Cash,Food and beverages,30-12-1899 07:48:00 pm,441.8,,22.09,4.761904762,,5,9.6,22.09,463.89,88.36
A,Yangon,Normal,15-03-2019,Male,848-62-7243,Cash,Health and beauty,30-12-1899 03:36:00 pm,224.01,,11.2005,4.761904762,,9,7.4,11.2005,235.2105,24.89
B,Mandalay,Normal,25-02-2019,Male,871-79-8483,Credit card,Fashion accessories,30-12-1899 07:39:00 pm,470.65,,23.5325,4.761904762,,5,4.8,23.5325,494.1825,94.13
B,Mandalay,Member,28-01-2019,Male,149-71-6266,Cash,Sports and travel,30-12-1899 12:43:00 pm,702.63,,35.1315,4.761904762,,9,4.5,35.1315,737.7615,78.07
B,Mandalay,Normal,10-01-2019,Male,640-49-2076,Cash,Sports and travel,30-12-1899 02:49:00 pm,670.24,,33.512,4.761904762,,8,5.1,33.512,703.752,83.78
A,Yangon,Normal,15-03-2019,Male,595-11-5460,Credit card,Health and beauty,30-12-1899 10:12:00 am,193.16,,9.658,4.761904762,,2,5.1,9.658,202.818,96.58
C,Naypyitaw,Member,06-02-2019,Female,183-56-6882,Ewallet,Food and beverages,30-12-1899 10:42:00 am,397.68,,19.884,4.761904762,,4,7.5,19.884,417.564,99.42
C,Naypyitaw,Member,07-01-2019,Female,232-16-2483,Ewallet,Sports and travel,30-12-1899 12:28:00 pm,68.12,,3.406,4.761904762,,1,6.8,3.406,71.526,68.12
A,Yangon,Member,10-03-2019,Male,129-29-8530,Ewallet,Sports and travel,30-12-1899 07:15:00 pm,313.1,,15.655,4.761904762,,5,7,15.655,328.755,62.62
A,Yangon,Normal,15-01-2019,Female,272-65-1806,Ewallet,Electronic accessories,30-12-1899 05:17:00 pm,547.92,,27.396,4.761904762,,9,4.7,27.396,575.316,60.88
C,Naypyitaw,Normal,23-03-2019,Female,333-73-7901,Ewallet,Health and beauty,30-12-1899 01:24:00 pm,439.36,,21.968,4.761904762,,8,7.6,21.968,461.328,54.92
B,Mandalay,Member,03-03-2019,Male,777-82-7220,Cash,Home and lifestyle,30-12-1899 01:01:00 pm,240.96,,12.048,4.761904762,,8,7.7,12.048,253.008,30.12
B,Mandalay,Member,17-01-2019,Female,280-35-5823,Ewallet,Home and lifestyle,30-12-1899 06:45:00 pm,86.72,,4.336,4.761904762,,1,7.9,4.336,91.056,86.72
C,Naypyitaw,Member,02-02-2019,Male,554-53-8700,Cash,Home and lifestyle,30-12-1899 10:11:00 am,112.22,,5.611,4.761904762,,2,6.3,5.611,117.831,56.11
B,Mandalay,Member,08-02-2019,Female,354-25-5821,Cash,Sports and travel,30-12-1899 01:03:00 pm,414.72,,20.736,4.761904762,,6,5.6,20.736,435.456,69.12
C,Naypyitaw,Member,04-03-2019,Female,228-96-1411,Cash,Food and beverages,30-12-1899 08:39:00 pm,789.6,,39.48,4.761904762,,8,7.6,39.48,829.08,98.7
C,Naypyitaw,Member,16-03-2019,Male,617-15-4209,Cash,Health and beauty,30-12-1899 07:47:00 pm,30.74,,1.537,4.761904762,,2,7.2,1.537,32.277,15.37
B,Mandalay,Member,09-03-2019,Female,132-32-9879,Cash,Electronic accessories,30-12-1899 06:00:00 pm,375.84,,18.792,4.761904762,,4,9.5,18.792,394.632,93.96
B,Mandalay,Member,27-02-2019,Male,370-41-7321,Credit card,Health and beauty,30-12-1899 05:24:00 pm,510.21,,25.5105,4.761904762,,9,8.4,25.5105,535.7205,56.69
B,Mandalay,Member,06-02-2019,Female,727-46-3608,Ewallet,Food and beverages,30-12-1899 03:47:00 pm,180.09,,9.0045,4.761904762,,9,4.1,9.0045,189.0945,20.01
B,Mandalay,Member,10-02-2019,Male,669-54-1719,Credit card,Electronic accessories,30-12-1899 12:45:00 pm,113.58,,5.679,4.761904762,,6,8.1,5.679,119.259,18.93
C,Naypyitaw,Member,19-03-2019,Female,574-22-5561,Ewallet,Fashion accessories,30-12-1899 05:08:00 pm,826.3,,41.315,4.761904762,,10,7.9,41.315,867.615,82.63
C,Naypyitaw,Member,03-02-2019,Male,326-78-5178,Cash,Food and beverages,30-12-1899 10:19:00 am,639.8,,31.99,4.761904762,,7,9.5,31.99,671.79,91.4
A,Yangon,Member,10-02-2019,Female,162-48-8011,Cash,Food and beverages,30-12-1899 03:10:00 pm,222.95,,11.1475,4.761904762,,5,8.5,11.1475,234.0975,44.59
B,Mandalay,Member,22-03-2019,Female,616-24-2851,Ewallet,Fashion accessories,30-12-1899 02:42:00 pm,71.48,,3.574,4.761904762,,4,6.5,3.574,75.054,17.87
C,Naypyitaw,Member,25-01-2019,Male,778-71-5554,Credit card,Fashion accessories,30-12-1899 03:46:00 pm,15.43,,0.7715,4.761904762,,1,6.1,0.7715,16.2015,15.43
B,Mandalay,Normal,07-03-2019,Male,242-55-6721,Ewallet,Home and lifestyle,30-12-1899 11:49:00 am,32.32,,1.616,4.761904762,,2,6.5,1.616,33.936,16.16
C,Naypyitaw,Normal,28-02-2019,Female,399-46-5918,Cash,Electronic accessories,30-12-1899 07:01:00 pm,687.84,,34.392,4.761904762,,8,8.2,34.392,722.232,85.98
A,Yangon,Member,27-03-2019,Male,106-35-6779,Cash,Home and lifestyle,30-12-1899 11:26:00 am,88.68,,4.434,4.761904762,,2,5.8,4.434,93.114,44.34
A,Yangon,Normal,07-02-2019,Male,635-40-6220,Ewallet,Health and beauty,30-12-1899 11:28:00 am,716.8,,35.84,4.761904762,,8,6.6,35.84,752.64,89.6
A,Yangon,Member,20-01-2019,Female,817-48-8732,Cash,Home and lifestyle,30-12-1899 03:55:00 pm,723.5,,36.175,4.761904762,,10,5.4,36.175,759.675,72.35
C,Naypyitaw,Normal,12-03-2019,Male,120-06-4233,Cash,Electronic accessories,30-12-1899 08:36:00 pm,183.66,,9.183,4.761904762,,6,9.3,9.183,192.843,30.61
C,Naypyitaw,Member,15-02-2019,Female,285-68-5083,Credit card,Sports and travel,30-12-1899 05:47:00 pm,74.22,,3.711,4.761904762,,3,10,3.711,77.931,24.74
C,Naypyitaw,Normal,24-02-2019,Male,803-83-5989,Ewallet,Home and lifestyle,30-12-1899 10:55:00 am,334.38,,16.719,4.761904762,,6,7,16.719,351.099,55.73
B,Mandalay,Member,03-02-2019,Female,347-34-2234,Ewallet,Sports and travel,30-12-1899 01:40:00 pm,495.63,,24.7815,4.761904762,,9,10,24.7815,520.4115,55.07
A,Yangon,Member,06-03-2019,Male,199-75-8169,Credit card,Sports and travel,30-12-1899 12:27:00 pm,158.1,,7.905,4.761904762,,10,8.6,7.905,166.005,15.81
B,Mandalay,Member,14-02-2019,Male,853-23-2453,Cash,Health and beauty,30-12-1899 02:35:00 pm,302.96,,15.148,4.761904762,,4,7.6,15.148,318.108,75.74
A,Yangon,Member,13-03-2019,Male,877-22-3308,Cash,Health and beauty,30-12-1899 04:40:00 pm,158.7,,7.935,4.761904762,,10,5.8,7.935,166.635,15.87
C,Naypyitaw,Normal,10-02-2019,Female,838-78-4295,Ewallet,Health and beauty,30-12-1899 03:43:00 pm,66.94,,3.347,4.761904762,,2,6.7,3.347,70.287,33.47
B,Mandalay,Member,07-01-2019,Female,109-28-2512,Ewallet,Fashion accessories,30-12-1899 03:01:00 pm,585.66,,29.283,4.761904762,,6,9.9,29.283,614.943,97.61
A,Yangon,Normal,24-01-2019,Male,232-11-3025,Cash,Sports and travel,30-12-1899 10:04:00 am,787.7,,39.385,4.761904762,,10,6.4,39.385,827.085,78.77
A,Yangon,Member,02-02-2019,Female,382-03-4532,Cash,Health and beauty,30-12-1899 06:50:00 pm,18.33,,0.9165,4.761904762,,1,4.3,0.9165,19.2465,18.33
C,Naypyitaw,Normal,06-01-2019,Male,393-65-2792,Credit card,Food and beverages,30-12-1899 12:46:00 pm,894.8,,44.74,4.761904762,,10,9.6,44.74,939.54,89.48
C,Naypyitaw,Normal,11-02-2019,Male,796-12-2025,Cash,Fashion accessories,30-12-1899 04:19:00 pm,621.2,,31.06,4.761904762,,10,5.9,31.06,652.26,62.12
B,Mandalay,Member,05-03-2019,Female,510-95-6347,Ewallet,Food and beverages,30-12-1899 06:17:00 pm,145.56,,7.278,4.761904762,,3,4,7.278,152.838,48.52
C,Naypyitaw,Normal,09-03-2019,Female,841-35-6630,Cash,Electronic accessories,30-12-1899 06:21:00 pm,455.46,,22.773,4.761904762,,6,8.7,22.773,478.233,75.91
A,Yangon,Normal,22-01-2019,Male,287-21-9091,Ewallet,Home and lifestyle,30-12-1899 10:55:00 am,672.03,,33.6015,4.761904762,,9,9.4,33.6015,705.6315,74.67
C,Naypyitaw,Normal,13-01-2019,Female,732-94-0499,Credit card,Electronic accessories,30-12-1899 05:04:00 pm,416.5,,20.825,4.761904762,,10,5.4,20.825,437.325,41.65
C,Naypyitaw,Member,09-01-2019,Male,263-10-3913,Credit card,Fashion accessories,30-12-1899 02:20:00 pm,441.36,,22.068,4.761904762,,9,8.6,22.068,463.428,49.04
A,Yangon,Member,12-01-2019,Female,381-20-0914,Credit card,Fashion accessories,30-12-1899 03:48:00 pm,180.09,,9.0045,4.761904762,,9,5.7,9.0045,189.0945,20.01
C,Naypyitaw,Member,05-03-2019,Female,829-49-1914,Ewallet,Food and beverages,30-12-1899 04:24:00 pm,783.1,,39.155,4.761904762,,10,6.6,39.155,822.255,78.31
C,Naypyitaw,Normal,22-01-2019,Female,756-01-7507,Cash,Health and beauty,30-12-1899 06:56:00 pm,101.9,,5.095,4.761904762,,5,6,5.095,106.995,20.38
C,Naypyitaw,Normal,21-01-2019,Female,870-72-4431,Credit card,Health and beauty,30-12-1899 02:42:00 pm,595.14,,29.757,4.761904762,,6,5.5,29.757,624.897,99.19
B,Mandalay,Normal,26-01-2019,Female,847-38-7188,Ewallet,Food and beverages,30-12-1899 07:56:00 pm,290.04,,14.502,4.761904762,,3,6.4,14.502,304.542,96.68
C,Naypyitaw,Normal,23-01-2019,Male,480-63-2856,Ewallet,Food and beverages,30-12-1899 06:37:00 pm,154,,7.7,4.761904762,,8,6.6,7.7,161.7,19.25
C,Naypyitaw,Member,23-02-2019,Female,787-56-0757,Credit card,Food and beverages,30-12-1899 06:45:00 pm,321.44,,16.072,4.761904762,,4,8.3,16.072,337.512,80.36
C,Naypyitaw,Member,09-03-2019,Male,360-39-5055,Cash,Sports and travel,30-12-1899 10:17:00 am,244.55,,12.2275,4.761904762,,5,6.6,12.2275,256.7775,48.91
C,Naypyitaw,Normal,05-03-2019,Female,730-50-9884,Ewallet,Sports and travel,30-12-1899 02:31:00 pm,581.42,,29.071,4.761904762,,7,4,29.071,610.491,83.06
C,Naypyitaw,Normal,25-03-2019,Male,362-58-8315,Cash,Fashion accessories,30-12-1899 10:23:00 am,382.6,,19.13,4.761904762,,5,9.9,19.13,401.73,76.52
A,Yangon,Member,27-03-2019,Male,633-44-8566,Credit card,Food and beverages,30-12-1899 08:35:00 pm,345.66,,17.283,4.761904762,,7,7.3,17.283,362.943,49.38
A,Yangon,Normal,02-01-2019,Male,504-35-8843,Cash,Sports and travel,30-12-1899 04:57:00 pm,42.47,,2.1235,4.761904762,,1,5.7,2.1235,44.5935,42.47
B,Mandalay,Normal,27-02-2019,Female,318-68-5053,Cash,Health and beauty,30-12-1899 05:55:00 pm,461.94,,23.097,4.761904762,,6,6.1,23.097,485.037,76.99
C,Naypyitaw,Member,23-01-2019,Female,565-80-5980,Cash,Home and lifestyle,30-12-1899 10:25:00 am,189.52,,9.476,4.761904762,,4,7.1,9.476,198.996,47.38
C,Naypyitaw,Normal,26-01-2019,Female,225-32-0908,Ewallet,Sports and travel,30-12-1899 07:54:00 pm,448.6,,22.43,4.761904762,,10,8.2,22.43,471.03,44.86
A,Yangon,Member,10-01-2019,Female,873-51-0671,Ewallet,Sports and travel,30-12-1899 04:42:00 pm,153.86,,7.693,4.761904762,,7,5.1,7.693,161.553,21.98
B,Mandalay,Member,12-03-2019,Male,152-08-9985,Credit card,Health and beauty,30-12-1899 12:09:00 pm,579.24,,28.962,4.761904762,,9,8.6,28.962,608.202,64.36
C,Naypyitaw,Normal,06-02-2019,Male,512-91-0811,Credit card,Health and beauty,30-12-1899 08:05:00 pm,89.75,,4.4875,4.761904762,,1,6.6,4.4875,94.2375,89.75
A,Yangon,Normal,08-03-2019,Male,594-34-4444,Ewallet,Electronic accessories,30-12-1899 08:38:00 pm,97.16,,4.858,4.761904762,,1,7.2,4.858,102.018,97.16
B,Mandalay,Normal,29-03-2019,Male,766-85-7061,Ewallet,Health and beauty,30-12-1899 10:25:00 am,878.7,,43.935,4.761904762,,10,5.1,43.935,922.635,87.87
C,Naypyitaw,Normal,09-02-2019,Female,871-39-9221,Cash,Electronic accessories,30-12-1899 01:11:00 pm,74.7,,3.735,4.761904762,,6,4.1,3.735,78.435,12.45
A,Yangon,Normal,23-03-2019,Male,865-92-6136,Ewallet,Food and beverages,30-12-1899 10:16:00 am,158.25,,7.9125,4.761904762,,3,9.3,7.9125,166.1625,52.75
B,Mandalay,Normal,05-03-2019,Male,733-01-9107,Cash,Home and lifestyle,30-12-1899 06:14:00 pm,496.2,,24.81,4.761904762,,6,7.4,24.81,521.01,82.7
C,Naypyitaw,Member,26-03-2019,Male,163-56-7055,Cash,Fashion accessories,30-12-1899 07:20:00 pm,48.71,,2.4355,4.761904762,,1,4.1,2.4355,51.1455,48.71
C,Naypyitaw,Normal,01-03-2019,Male,189-98-2939,Cash,Fashion accessories,30-12-1899 01:22:00 pm,706.95,,35.3475,4.761904762,,9,7.2,35.3475,742.2975,78.55
C,Naypyitaw,Normal,01-02-2019,Female,551-21-3069,Cash,Electronic accessories,30-12-1899 11:27:00 am,207.63,,10.3815,4.761904762,,9,4.9,10.3815,218.0115,23.07
A,Yangon,Normal,28-03-2019,Male,212-62-1842,Cash,Food and beverages,30-12-1899 04:44:00 pm,349.56,,17.478,4.761904762,,6,9.9,17.478,367.038,58.26
B,Mandalay,Normal,19-03-2019,Male,716-39-1409,Cash,Health and beauty,30-12-1899 06:19:00 pm,212.45,,10.6225,4.761904762,,7,8,10.6225,223.0725,30.35
A,Yangon,Member,12-01-2019,Male,704-48-3927,Ewallet,Electronic accessories,30-12-1899 02:50:00 pm,886.7,,44.335,4.761904762,,10,7.3,44.335,931.035,88.67
C,Naypyitaw,Normal,05-01-2019,Male,628-34-3388,Credit card,Fashion accessories,30-12-1899 08:54:00 pm,164.28,,8.214,4.761904762,,6,7.9,8.214,172.494,27.38
A,Yangon,Normal,22-03-2019,Male,630-74-5166,Cash,Sports and travel,30-12-1899 08:19:00 pm,372.78,,18.639,4.761904762,,6,7.4,18.639,391.419,62.13
C,Naypyitaw,Normal,24-03-2019,Female,588-01-7461,Cash,Food and beverages,30-12-1899 10:43:00 am,305.82,,15.291,4.761904762,,9,4.2,15.291,321.111,33.98
C,Naypyitaw,Member,03-03-2019,Male,861-77-0145,Cash,Electronic accessories,30-12-1899 02:30:00 pm,819.7,,40.985,4.761904762,,10,9.2,40.985,860.685,81.97
B,Mandalay,Member,05-02-2019,Female,479-26-8945,Ewallet,Sports and travel,30-12-1899 11:32:00 am,32.98,,1.649,4.761904762,,2,4.6,1.649,34.629,16.49
C,Naypyitaw,Member,05-02-2019,Female,210-67-5886,Credit card,Health and beauty,30-12-1899 10:41:00 am,294.63,,14.7315,4.761904762,,3,7.8,14.7315,309.3615,98.21
B,Mandalay,Normal,15-02-2019,Female,227-78-1148,Cash,Fashion accessories,30-12-1899 12:44:00 pm,509.88,,25.494,4.761904762,,7,8.4,25.494,535.374,72.84
A,Yangon,Member,19-01-2019,Male,645-44-1170,Ewallet,Home and lifestyle,30-12-1899 08:07:00 pm,522.63,,26.1315,4.761904762,,9,4.3,26.1315,548.7615,58.07
C,Naypyitaw,Member,01-02-2019,Female,237-01-6122,Credit card,Home and lifestyle,30-12-1899 08:31:00 pm,727.11,,36.3555,4.761904762,,9,9.5,36.3555,763.4655,80.79
C,Naypyitaw,Normal,02-03-2019,Female,225-98-1496,Credit card,Fashion accessories,30-12-1899 01:01:00 pm,81.06,,4.053,4.761904762,,3,7.1,4.053,85.113,27.02
B,Mandalay,Member,05-03-2019,Male,291-32-1427,Ewallet,Fashion accessories,30-12-1899 12:29:00 pm,109.7,,5.485,4.761904762,,5,5.3,5.485,115.185,21.94
B,Mandalay,Member,16-01-2019,Male,659-65-8956,Ewallet,Fashion accessories,30-12-1899 03:26:00 pm,51.36,,2.568,4.761904762,,1,5.2,2.568,53.928,51.36
A,Yangon,Normal,02-02-2019,Female,642-32-2990,Ewallet,Food and beverages,30-12-1899 08:48:00 pm,109.6,,5.48,4.761904762,,10,6,5.48,115.08,10.96
B,Mandalay,Normal,20-01-2019,Male,378-24-2715,Ewallet,Home and lifestyle,30-12-1899 08:38:00 pm,106.88,,5.344,4.761904762,,2,4.1,5.344,112.224,53.44
A,Yangon,Normal,14-02-2019,Female,638-60-7125,Credit card,Electronic accessories,30-12-1899 05:03:00 pm,796.48,,39.824,4.761904762,,8,5.2,39.824,836.304,99.56
C,Naypyitaw,Member,12-01-2019,Male,659-36-1684,Credit card,Sports and travel,30-12-1899 12:02:00 pm,399.84,,19.992,4.761904762,,7,6.5,19.992,419.832,57.12
B,Mandalay,Member,09-03-2019,Male,219-22-9386,Credit card,Sports and travel,30-12-1899 05:26:00 pm,899.64,,44.982,4.761904762,,9,4.2,44.982,944.622,99.96
C,Naypyitaw,Member,13-03-2019,Male,336-78-2147,Credit card,Home and lifestyle,30-12-1899 07:52:00 pm,511.28,,25.564,4.761904762,,8,4.6,25.564,536.844,63.91
B,Mandalay,Member,09-03-2019,Female,268-27-6179,Ewallet,Fashion accessories,30-12-1899 02:57:00 pm,451.76,,22.588,4.761904762,,8,7.3,22.588,474.348,56.47
A,Yangon,Normal,10-03-2019,Female,668-90-8900,Credit card,Home and lifestyle,30-12-1899 06:44:00 pm,655.83,,32.7915,4.761904762,,7,4.5,32.7915,688.6215,93.69
A,Yangon,Normal,27-01-2019,Female,870-54-3162,Cash,Sports and travel,30-12-1899 01:26:00 pm,161.25,,8.0625,4.761904762,,5,9,8.0625,169.3125,32.25
C,Naypyitaw,Normal,08-01-2019,Female,189-08-9157,Credit card,Fashion accessories,30-12-1899 04:17:00 pm,285.57,,14.2785,4.761904762,,9,5.9,14.2785,299.8485,31.73
C,Naypyitaw,Member,08-01-2019,Female,663-86-9076,Ewallet,Food and beverages,30-12-1899 03:57:00 pm,548.32,,27.416,4.761904762,,8,8.5,27.416,575.736,68.54
B,Mandalay,Normal,08-02-2019,Female,549-84-7482,Ewallet,Sports and travel,30-12-1899 11:15:00 am,812.52,,40.626,4.761904762,,9,7.2,40.626,853.146,90.28
B,Mandalay,Normal,25-01-2019,Female,191-10-6171,Cash,Fashion accessories,30-12-1899 01:18:00 pm,277.34,,13.867,4.761904762,,7,7.5,13.867,291.207,39.62
A,Yangon,Member,06-03-2019,Female,802-70-5316,Cash,Sports and travel,30-12-1899 08:34:00 pm,552.78,,27.639,4.761904762,,6,8.3,27.639,580.419,92.13
B,Mandalay,Normal,10-02-2019,Female,695-51-0018,Cash,Sports and travel,30-12-1899 06:36:00 pm,139.36,,6.968,4.761904762,,4,7.4,6.968,146.328,34.84
B,Mandalay,Member,17-02-2019,Male,590-83-4591,Credit card,Electronic accessories,30-12-1899 02:40:00 pm,524.7,,26.235,4.761904762,,6,8.8,26.235,550.935,87.45
C,Naypyitaw,Normal,08-03-2019,Female,483-71-1164,Ewallet,Health and beauty,30-12-1899 04:43:00 pm,487.8,,24.39,4.761904762,,6,5.3,24.39,512.19,81.3
C,Naypyitaw,Normal,18-02-2019,Male,597-78-7908,Cash,Fashion accessories,30-12-1899 07:39:00 pm,270.66,,13.533,4.761904762,,3,6.2,13.533,284.193,90.22
A,Yangon,Normal,18-01-2019,Female,700-81-1757,Credit card,Electronic accessories,30-12-1899 08:59:00 pm,131.55,,6.5775,4.761904762,,5,8.8,6.5775,138.1275,26.31
A,Yangon,Member,18-02-2019,Female,354-39-5160,Cash,Home and lifestyle,30-12-1899 03:39:00 pm,206.52,,10.326,4.761904762,,6,9.8,10.326,216.846,34.42
B,Mandalay,Normal,16-02-2019,Male,241-72-9525,Cash,Sports and travel,30-12-1899 12:21:00 pm,519.1,,25.955,4.761904762,,10,8.2,25.955,545.055,51.91
A,Yangon,Normal,16-03-2019,Male,575-30-8091,Ewallet,Sports and travel,30-12-1899 07:25:00 pm,580,,29,4.761904762,,8,9.2,29,609,72.5
C,Naypyitaw,Member,23-01-2019,Female,731-81-9469,Credit card,Sports and travel,30-12-1899 01:00:00 pm,898,,44.9,4.761904762,,10,5.4,44.9,942.9,89.8
C,Naypyitaw,Member,25-01-2019,Male,280-17-4359,Cash,Health and beauty,30-12-1899 01:48:00 pm,905,,45.25,4.761904762,,10,8.1,45.25,950.25,90.5
C,Naypyitaw,Member,05-02-2019,Female,338-65-2210,Cash,Health and beauty,30-12-1899 07:57:00 pm,686,,34.3,4.761904762,,10,9.1,34.3,720.3,68.6
C,Naypyitaw,Member,22-02-2019,Female,488-25-4221,Credit card,Food and beverages,30-12-1899 10:36:00 am,30.41,,1.5205,4.761904762,,1,8.4,1.5205,31.9305,30.41
A,Yangon,Normal,21-01-2019,Female,239-10-7476,Ewallet,Home and lifestyle,30-12-1899 04:37:00 pm,467.7,,23.385,4.761904762,,6,8,23.385,491.085,77.95
C,Naypyitaw,Normal,08-03-2019,Female,458-41-1477,Credit card,Health and beauty,30-12-1899 05:11:00 pm,277.56,,13.878,4.761904762,,6,9.5,13.878,291.438,46.26
A,Yangon,Member,10-02-2019,Female,685-64-1609,Ewallet,Fashion accessories,30-12-1899 12:28:00 pm,301.4,,15.07,4.761904762,,10,9.2,15.07,316.47,30.14
C,Naypyitaw,Normal,19-03-2019,Male,568-90-5112,Credit card,Health and beauty,30-12-1899 12:46:00 pm,264.56,,13.228,4.761904762,,4,5.6,13.228,277.788,66.14
B,Mandalay,Member,06-03-2019,Male,262-47-2794,Credit card,Home and lifestyle,30-12-1899 03:07:00 pm,574.88,,28.744,4.761904762,,8,6.2,28.744,603.624,71.86
A,Yangon,Normal,27-03-2019,Male,238-49-0436,Credit card,Health and beauty,30-12-1899 01:48:00 pm,259.68,,12.984,4.761904762,,8,4.9,12.984,272.664,32.46
